district_id,district_name,model,ssp,epoch,metric,value
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_events_per_year,5.605291603810052
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_events_per_year,4.084564343827063
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_events_per_year,3.081452358148828
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_duration,6.517543149544354
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_duration,4.491598940470016
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,heatwaves_avg_duration,4.788582855658953
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_events_per_year,6.7783086168542654
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_events_per_year,5.936956838845735
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_events_per_year,3.750747607376157
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_duration,8.106602777119125
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_duration,4.990336777678477
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,heatwaves_avg_duration,4.975789006685465
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_events_per_year,6.786243796756788
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_events_per_year,6.159728559217541
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_events_per_year,3.5455608370923297
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_duration,7.535824855934724
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_duration,5.089307446287203
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,heatwaves_avg_duration,4.87353258133929
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_events_per_year,8.399505456234888
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_events_per_year,8.27639756093635
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_events_per_year,4.8048447867834305
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_duration,10.22841001762174
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_duration,6.060823594734852
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,heatwaves_avg_duration,5.125227777781985
NSW_7,Northern NSW,Historical,Historical,Historical,heatwaves_avg_events_per_year,2.143094451875617
NSW_9,Western Sydney,Historical,Historical,Historical,heatwaves_avg_events_per_year,1.7642932415140091
SA_5,Eyre and Far North,Historical,Historical,Historical,heatwaves_avg_events_per_year,1.6042028726781699
NSW_7,Northern NSW,Historical,Historical,Historical,heatwaves_avg_duration,4.831476988258662
NSW_9,Western Sydney,Historical,Historical,Historical,heatwaves_avg_duration,3.9166383340703006
SA_5,Eyre and Far North,Historical,Historical,Historical,heatwaves_avg_duration,4.520263359005371
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,pc_max_95,32.87174661044651
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,pc_max_95,34.618224580850125
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,pc_max_95,38.133385238815
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,pc_max_95,33.83721736531627
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,pc_max_95,35.84976022606422
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,pc_max_95,38.59784366051367
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,pc_max_95,33.95529932578597
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,pc_max_95,36.40985731917565
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,pc_max_95,38.56148587693188
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,pc_max_95,34.883992928771605
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,pc_max_95,37.11802466530497
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,pc_max_95,39.59619337269008
NSW_7,Northern NSW,Historical,Historical,Historical,pc_max_95,31.060758590698242
NSW_9,Western Sydney,Historical,Historical,Historical,pc_max_95,33.139122009277344
SA_5,Eyre and Far North,Historical,Historical,Historical,pc_max_95,36.56184768676758
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,pc_min_95,23.248575230127276
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,pc_min_95,21.963056625804636
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,pc_min_95,21.21353317143917
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,pc_min_95,23.736925950106674
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,pc_min_95,22.53646044127926
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,pc_min_95,21.827893440200206
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,pc_min_95,23.483429048713027
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,pc_min_95,22.40929537807715
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,pc_min_95,21.523244631363482
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,pc_min_95,24.837209041191493
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,pc_min_95,23.579810788682803
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,pc_min_95,22.52728199085561
NSW_7,Northern NSW,Historical,Historical,Historical,pc_min_95,21.847509384155273
NSW_9,Western Sydney,Historical,Historical,Historical,pc_min_95,20.51513671875
SA_5,Eyre and Far North,Historical,Historical,Historical,pc_min_95,19.886430740356445
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,35.46324243927197
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,36.00787048813622
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,36.761648816918985
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,mean_heat_index,36.48579619034435
