date,New South Wales_Northern NSW,New South Wales_Western Sydney,South Australia_Eyre and Far North
2035-01-01,5.062241,5.0963,5.042743
2035-01-02,7.47356,7.510449,7.4466424
2035-01-03,6.8441954,6.8355155,6.830465
2035-01-04,5.7186756,5.977024,5.7008038
2035-01-05,6.597767,6.5980263,6.585866
2035-01-06,5.390623,5.478694,5.399284
2035-01-07,5.634037,5.611726,5.6233015
2035-01-08,5.9634147,6.1707125,5.9727817
2035-01-09,7.6422067,7.4277554,7.599601
2035-01-10,6.56407,6.702683,6.55524
2035-01-11,6.920109,7.1382637,6.9528904
2035-01-12,5.129916,5.4147806,5.154756
2035-01-13,5.623946,5.66038,5.5967917
2035-01-14,6.403094,6.508117,6.3567367
2035-01-15,5.8491607,5.7949557,5.814179
2035-01-16,6.13623,6.266869,6.102716
2035-01-17,6.876157,6.9206834,6.8558445
2035-01-18,6.573177,6.727337,6.584569
2035-01-19,5.9542274,6.1054626,5.97549
2035-01-20,5.238695,5.222954,5.229678
2035-01-21,5.554167,5.528949,5.5530887
2035-01-22,5.932347,6.1148906,5.9308977
2035-01-23,6.721249,6.7786236,6.7239
2035-01-24,5.7683315,5.7677536,5.770982
2035-01-25,5.858649,5.9268465,5.8503
2035-01-26,5.5305247,5.601571,5.514857
2035-01-27,5.5576906,5.6224155,5.534094
2035-01-28,5.841766,5.7912536,5.838733
2035-01-29,5.199182,5.2900743,5.202886
2035-01-30,5.571509,5.6856155,5.56411
2035-01-31,7.213714,6.8887796,7.2003326
2035-02-01,6.535663,6.71167,6.574782
2035-02-02,5.9608245,6.0598674,5.974456
2035-02-03,6.273166,6.354519,6.2536106
2035-02-04,5.9823465,6.053646,5.951721
2035-02-05,5.9913774,6.048653,5.961681
2035-02-06,6.4964333,6.543469,6.4433537
2035-02-07,7.773264,7.6670666,7.694684
2035-02-08,8.020342,8.066478,8.032258
2035-02-09,7.0172253,7.132702,7.0580754
2035-02-10,5.1047053,5.317486,5.1140275
2035-02-11,5.700691,5.8767724,5.715095
2035-02-12,5.602565,5.6796613,5.620641
2035-02-13,6.847598,6.8923426,6.788989
2035-02-14,6.751065,6.828779,6.7588186
2035-02-15,6.26432,6.5080986,6.2679157
2035-02-16,9.755742,9.132118,9.669844
2035-02-17,6.3847995,6.5916796,6.4078455
2035-02-18,5.780064,5.9628925,5.813372
2035-02-19,5.570064,5.69141,5.55487
2035-02-20,5.7631645,5.984615,5.751789
2035-02-21,5.8709526,6.036831,5.8733006
2035-02-22,5.579625,5.5713816,5.567002
2035-02-23,6.801527,6.810054,6.8009663
2035-02-24,5.7530093,5.9787226,5.797079
2035-02-25,5.4006834,5.648351,5.4188533
2035-02-26,5.825256,5.897204,5.808048
2035-02-27,5.4105988,5.647465,5.4027762
2035-02-28,5.36973,5.409219,5.3513837
2035-03-01,4.980081,5.176326,4.959501
2035-03-02,7.4387627,7.278007,7.43603
2035-03-03,6.5293055,6.9480295,6.554459
2035-03-04,7.112543,6.9080305,7.0466022
2035-03-05,5.917283,5.9452796,5.9138184
2035-03-06,5.5098944,5.634257,5.502974
2035-03-07,5.1975565,5.3012056,5.1936293
2035-03-08,4.883773,5.084576,4.886003
2035-03-09,5.2038517,5.366077,5.208833
2035-03-10,5.1150174,5.3509245,5.1136584
2035-03-11,5.632042,5.797926,5.6182284
2035-03-12,5.593536,5.7715025,5.564395
2035-03-13,5.9550524,6.1227045,5.9534173
2035-03-14,5.5275474,5.764285,5.543119
2035-03-15,5.42742,5.592615,5.416383
2035-03-16,5.272967,5.4105735,5.2590494
2035-03-17,5.199963,5.2392964,5.1712556
2035-03-18,4.8705106,4.8821273,4.839258
2035-03-19,4.920781,4.976935,4.9135256
2035-03-20,5.0272217,5.0958247,5.0147576
2035-03-21,5.0976853,5.200706,5.0912447
2035-03-22,5.019899,5.1282487,5.0234604
2035-03-23,5.262242,5.4357862,5.2613645
2035-03-24,5.7173204,5.8412433,5.690674
2035-03-25,5.7570453,5.794676,5.7225084
2035-03-26,5.9746947,6.069318,5.958574
2035-03-27,4.798974,5.0155015,4.8192506
2035-03-28,4.608795,4.845369,4.628286
2035-03-29,4.2352104,4.480974,4.2291074
2035-03-30,4.6814823,4.752213,4.685434
2035-03-31,4.8127823,4.994447,4.7968016
2035-04-01,4.718646,4.909671,4.6882973
2035-04-02,4.1114326,4.2748437,4.085261
2035-04-03,4.713083,4.8387384,4.710486
2035-04-04,3.8301556,3.9331276,3.8194885
2035-04-05,3.0388181,3.2374113,3.0392897
2035-04-06,4.028459,4.189474,4.034071
2035-04-07,3.7080686,3.7947004,3.7248647
2035-04-08,3.226079,3.305582,3.2307153
2035-04-09,4.4180026,4.5035152,4.403844
2035-04-10,4.5921526,4.7896385,4.5888824
2035-04-11,4.2411456,4.4868636,4.259841
2035-04-12,4.389187,4.5722384,4.4028316
2035-04-13,4.9546914,5.034633,4.920913
2035-04-14,4.988722,5.1812463,4.942673
2035-04-15,6.114505,6.06302,6.0790086
2035-04-16,4.912687,4.8312,4.8684154
2035-04-17,5.1322145,5.0620947,5.080655
2035-04-18,6.06612,5.905316,6.0167456
2035-04-19,6.958403,6.6738467,6.917472
2035-04-20,5.2666745,5.3004856,5.261657
2035-04-21,4.5263658,4.694714,4.539523
2035-04-22,4.74487,4.854511,4.7542353
2035-04-23,5.4908876,5.6127014,5.5209794
2035-04-24,5.568086,5.7141066,5.6175203
2035-04-25,4.496316,4.652143,4.539258
2035-04-26,4.8932633,4.9768796,4.912719
2035-04-27,4.3496203,4.43295,4.3682656
2035-04-28,4.3279557,4.357053,4.350306
2035-04-29,5.5005436,5.613283,5.5314436
2035-04-30,5.9520245,6.1482067,5.96251
2035-05-01,5.8713713,6.0994477,5.915613
2035-05-02,5.881664,6.1574497,5.9588366
2035-05-03,4.6342587,4.86108,4.6504645
2035-05-04,4.2999835,4.680961,4.311644
2035-05-05,4.4319577,4.6343246,4.4058127
2035-05-06,4.4325604,4.4716034,4.408313
2035-05-07,4.2803855,4.4788613,4.2855797
2035-05-08,5.466901,5.4689097,5.4510818
2035-05-09,4.4978623,4.611936,4.4972434
2035-05-10,4.190505,4.583816,4.2425866
2035-05-11,4.8409886,5.246423,4.8969226
2035-05-12,5.9556704,6.1971965,5.9763284
2035-05-13,5.677238,6.0419946,5.7132535
2035-05-14,4.073895,4.3996844,4.080839
2035-05-15,3.7663507,3.9439669,3.74435
2035-05-16,4.5342793,4.4528155,4.496592
2035-05-17,3.944334,3.978588,3.9279916
2035-05-18,3.945861,4.121826,3.9332037
2035-05-19,7.8019485,7.7419786,7.7795367
2035-05-20,9.599507,9.535442,9.609312
2035-05-21,6.5013037,6.7814493,6.589734
2035-05-22,4.3344774,4.6379867,4.386847
2035-05-23,4.3907337,4.4425344,4.3818884
2035-05-24,5.192737,5.2295127,5.203557
2035-05-25,4.139907,4.4039135,4.1969085
2035-05-26,3.7121847,4.0508137,3.709395
2035-05-27,4.694777,4.9750037,4.657
2035-05-28,5.0640025,5.359943,5.025856
2035-05-29,4.373814,4.5526233,4.344354
2035-05-30,3.7476304,3.8305604,3.717537
2035-05-31,3.5087562,3.4472651,3.501239
2035-06-01,3.575395,3.8640132,3.5893419
2035-06-02,5.5436964,5.648614,5.5348625
2035-06-03,5.7110324,6.111319,5.7049003
2035-06-04,7.0532327,7.2919283,7.0385365
2035-06-05,7.1504173,7.2878294,7.1148806
2035-06-06,7.191294,7.1106424,7.1761026
2035-06-07,5.255977,5.4374285,5.2936325
2035-06-08,4.078157,4.376391,4.085984
2035-06-09,4.224337,4.3712196,4.192492
2035-06-10,4.0849404,4.0931787,4.055078
2035-06-11,4.505952,4.6082644,4.4771924
2035-06-12,4.2215867,4.2221947,4.1954803
2035-06-13,4.445355,4.5370126,4.4421296
2035-06-14,3.8346062,3.9949205,3.8582916
2035-06-15,4.677375,4.785434,4.6606207
2035-06-16,4.4992204,4.532382,4.486503
2035-06-17,4.234337,4.519553,4.250656
2035-06-18,4.723097,4.7981005,4.676943
2035-06-19,4.925969,5.0150104,4.8932095
2035-06-20,6.0834293,6.2483444,6.0650654
2035-06-21,6.4951434,6.50801,6.4838524
2035-06-22,5.7328043,5.824833,5.732578
2035-06-23,5.9311266,6.0114675,5.8975954
2035-06-24,3.875567,3.9405136,3.843545
2035-06-25,3.7171793,3.6469753,3.6826475
2035-06-26,3.600936,3.682832,3.5830603
2035-06-27,4.287131,4.312273,4.287655
2035-06-28,3.8291507,3.7389312,3.7998335
2035-06-29,3.7387292,3.8122284,3.7394624
2035-06-30,3.6533587,3.8521824,3.6913471
2035-07-01,3.7773657,4.113151,3.7860007
2035-07-02,5.0238023,5.2286854,5.0010376
2035-07-03,4.3849387,4.394319,4.354113
2035-07-04,3.4048824,3.5584798,3.3938649
2035-07-05,3.1786506,3.3764453,3.1665087
2035-07-06,3.8759277,4.068605,3.8476956
2035-07-07,5.165584,5.278712,5.142547
2035-07-08,6.949009,7.2401795,6.9628105
2035-07-09,7.3124113,7.469962,7.3721814
2035-07-10,6.140241,6.2160234,6.1507597
2035-07-11,4.688061,4.692433,4.709573
2035-07-12,4.2410526,4.1944513,4.23881
2035-07-13,5.5159173,5.54434,5.4644127
2035-07-14,5.6148577,5.6449857,5.5633793
2035-07-15,6.453712,6.41321,6.3954353
2035-07-16,8.274862,8.133887,8.210617
2035-07-17,5.7431707,5.8772826,5.702252
2035-07-18,6.1219106,6.131403,6.1502676
2035-07-19,5.795795,5.93758,5.8335304
2035-07-20,4.118783,4.23896,4.1061497
2035-07-21,4.117214,4.1804843,4.1122217
2035-07-22,5.072527,5.0479665,5.0527086
2035-07-23,6.3944674,6.544341,6.422687
2035-07-24,5.1193976,5.565023,5.1669765
2035-07-25,4.434062,4.5943666,4.4201217
2035-07-26,5.805964,5.9235525,5.7922893
2035-07-27,4.6916847,4.9378552,4.7034764
2035-07-28,5.2392044,5.2293506,5.1869564
2035-07-29,7.6481853,7.5029283,7.58239
